landing_site,landing_site_key,n_vessels
MAZATLAN,25D,629
YUCALPETEN,31B,558
PROGRESO,31G,266
GUAYMAS,26C,263
TAMPICO,28D,229
PUERTO PEÃ‘ASCO,26B,174
TOPOLOBAMPO,25A,150
PUERTO MADERO,07A,126
PUERTO PEÑASCO,26B,94
YAVAROS,26E,83
ENSENADA,02B,75
LERMA,04B,74
BAHIA DE KINO,26F,73
CAMPECHE,04D,68
PARAJE NUEVO,26D,68
SAN CARLOS,03B,62
EL SAUZAL,02A,59
TUXPAN,30C,49
SALINA CRUZ,20B,46
PUERTO DE ABRIGO,110,44
ALVARADO,30G,41
FRONTERA,27B,39
CELESTUM,31A,36
SAN FELIPE,02D,32
MANZANILLO,06A,28
DZILAM DE BRAVO,31D,26
CHIAPAS,07C,21
PUERTO JUAREZ,23E,21
TELCHAC,31C,21
COATZACOALCOS,30F,19
PTO. IND. PESQ. LAGUNA AZUL,04C,15
SAN FELIPE,31E,13
CIUDAD DEL CARMEN,04A,11
SAN BLAS,18A,11
RIO LAGARTOS,31F,9
PUERTO CEIBA,27C,7
PUERTO EXTRANJERO,PEX,7
SANTA ROSALIA,03H,7
VERACRUZ,30D,7
GOLFO DE SANTA CLARA,26A,6
GUERRERO NEGRO,03L,6
PTO ADOLFO LOPEZ MATEOS,03D,6
PUERTO ANGEL,20A,6
EL CASTILLO,25C,5
ISLA CEDROS,02C,5
MOLINO VIEJO,02F,5
BAHIA ASUNCION,03J,3
CRUZ DE HUANACAXTLE,18B,3
LA REFORMA,25B,3
MATANCITAS,03A,3
PICHILINGUE,03F,3
ROSALILLITA,02E,3
EL CUYO,31H,2
EL MEZQUITAL,28A,2
HIGUERILLAS,28F,2
LA PAZ,03G,2
PUNTA ABREOJOS,03M,2
SAN LUCAS,03E,2
"TEACAPAN, SIN.",25E,2
BAHIA TORTUGAS,03I,1
CHETUMAL,23D,1
ISLA MUJERES,23B,1
LA CORTINA,13C,1
PUERTO ALCATRAZ,03C,1
PUERTO MORELOS,23F,1
PUERTO VALLARTA,14A,1
SANCHEZ MAGALLANES,27A,1
TAMIAHUA,30A,1
